review,label
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
"The hotel was okay, nothing special but not bad.",1
"Location is decent, but facilities are average.",1
Rooms were clean but staff seemed uninterested.,1
"Food was alright, service could have been better.",1
"Stay was acceptable, though not memorable.",1
"It was a standard hotel experience, nothing stood out.",1
"Average room size, neither big nor too small.",1
Staff did their job but without much enthusiasm.,1
"Breakfast was simple, nothing to complain about.",1
"Everything was fine, just not exceptional.",1
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
Excellent service and very clean rooms!,2
"Loved the location, walking distance to main attractions.",2
Staff was friendly and went above and beyond.,2
The breakfast buffet was amazing with many options.,2
"Perfect stay, will definitely come back again.",2
Very comfortable beds and spotless bathrooms.,2
"Great value for money, highly recommend this hotel.",2
The pool and spa were fantastic and relaxing.,2
Fast check-in and very professional staff.,2
"Everything exceeded my expectations, wonderful stay!",2
