review,label,phrase,sentiment
"Large room, comfortable bed, great room service. Large washroom, great shower",8,Great Room Service,positive
"Large room, comfortable bed, great room service. Large washroom, great shower",8,Large Washroom,positive
"Large room, comfortable bed, great room service. Large washroom, great shower",8,Great Shower,positive
No fuss property. Staff was cooperative and ready to help.,7,No Fuss Property,neutral
No fuss property. Staff was cooperative and ready to help.,7,Cooperative Staff,neutral
No fuss property. Staff was cooperative and ready to help.,7,Ready to Help,neutral
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Marked Sheets,positive
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Marked Pillows,positive
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Needs New Sheets,positive
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Good Stay,positive
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Great Staff,positive
"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good",9,Really Good Food,positive
Cleanliness and cordial relation maintained by staff,8,Cleanliness,positive
Cleanliness and cordial relation maintained by staff,8,Cordial Staff,positive
Very nice hotel and good service,8,Very Nice Hotel,positive
very nice hotel and good service,8,Good Service,positive
really well located for sightseeing. Paharganj is also quite an experience in itself.,7,Well Located,neutral
really well located for sightseeing. Paharganj is also quite an experience in itself.,7,Great Sightseeing,neutral
N/A,7,N/A,neutral
"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!",10,Feel at Home,positive
"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!",10,Hospitable Staff,positive
"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!",10,Helpful Staff,positive
Personals are good and help you if needed. Not a lot of noise in our room. AC working.,9,Good Personnel,positive
Personals are good and help you if needed. Not a lot of noise in our room. AC working.,9,Helpful Personnel,positive
Personals are good and help you if needed. Not a lot of noise in our room. AC working.,9,Quiet Room,positive
Personals are good and help you if needed. Not a lot of noise in our room. AC working.,9,Working AC,positive
Everything there was excellent.,7,Excellent Everything,neutral
"Very friendly and helpful staff, good value for money",8,Friendly Staff,positive
"Very friendly and helpful staff, good value for money",8,Helpful Staff,positive
"Very friendly and helpful staff, good value for money",8,Good Value for Money,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Great Location,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Great Staff,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Okay Breakfast,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Potentially Dangerous District,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Nearby Restaurants,positive
The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,9,Best AC,positive
Osm,8,Good Experience,positive
"Beds are confortable, price quality is good. Clean space, food was good. Big room.",8,Comfortable Beds,positive
"Beds are confortable, price quality is good. Clean space, food was good. Big room.",8,Good Price Quality,positive
"Beds are confortable, price quality is good. Clean space, food was good. Big room.",8,Clean Space,positive
"Beds are confortable, price quality is good. Clean space, food was good. Big room.",8,Good Food,positive
"Beds are confortable, price quality is good. Clean space, food was good. Big room.",8,Big Room,positive
Helpful travel desk at reception!,9,Helpful Travel Desk,positive
"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D",8,Location Confusion,positive
"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D",8,Well Connected,positive
Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,9,Helpful Staff,positive
Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,9,Friendly Staff,positive
Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,9,Spacious Rooms,positive
Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,9,Clean Rooms,positive
Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,9,24 Hour Check-in,positive
"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.",10,Close to Touristic Places,positive
"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.",10,Amazing Hotel Team,positive
"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.",10,Helpful Shikha,positive
Excellent breakfast. Location is good.,9,Excellent Breakfast,positive
Excellent breakfast. Location is good.,9,Good Location,positive
?È?·?È???È?·Parking and room both are not good,7,Poor Parking,neutral
?È?·?È???È?·Parking and room both are not good,7,Poor Room,neutral
Breakfast was of a very high quality with a lot to choose from. Thoroughly enjo6,8,High Quality Breakfast,positive
Comfort,9,Comfort,positive
Good,9,Good Experience,positive
Please provide more Intercontinental Breakfast,9,Needs More Variety,positive
We didn?Û?Èº?‰Ût have breakfast,8,No Breakfast,positive
Ok,7,Okay Experience,neutral
Nice hotel.,8,Nice Hotel,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Helpful Staff,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Courteous Staff,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Always Available,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Hygienic Rooms,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Clean Rooms,positive
The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,10,Professional Staff,positive
Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,9,Good Value for Money,positive
Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,9,Friendly Staff,positive
Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,9,Competent Staff,positive
Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,9,Spacious Rooms,positive
Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,9,Daily Cleaning,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Wonderful Hotel,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Nice Location,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Attentive Staff,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Friendly Staff,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Outstanding Service,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Air Conditioned Rooms,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Well Equipped Rooms,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Great Hospitality,positive
"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..",9,Excellent Service,positive
"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",9,Comfortable Bed,positive
"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",9,Clean Room,positive
"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",9,Enjoyable Stay,positive
"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",9,Professional Staff,positive
"The comfort of the bed and the cleanliness of the room made my stay truly enjoyable. The professionalism and helpfulness of the staff were remarkable, and their efficiency was impressive. The breakfast was a highlight, truly amazing..",9,Helpful Staff,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Nice Location,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Good Food,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Neat and Clean Room,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Near Railway Station,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Central Location,positive
Nice location good food neat nd clean room near to railway station centre of Delhi so all monoment are very close to hotel,10,Close to Monuments,positive
This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager. We were able to find a solution to my daughters predicament and get her checked in. As a parent I cannot express my gratitude to the staff at the holiday inn. Her stay has been comfortable. My mind is at peace knowing that she is safe and in good hands. Thank you so much,10,Helpful Duty Manager,positive
This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager. We were able to find a solution to my daughters predicament and get her checked in. As a parent I cannot express my gratitude to the staff at the holiday inn. Her stay has been comfortable. My mind is at peace knowing that she is safe and in good hands. Thank you so much,10,Grateful Staff,positive
This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager. We were able to find a solution to my daughters predicament and get her checked in. As a parent I cannot express my gratitude to the staff at the holiday inn. Her stay has been comfortable. My mind is at peace knowing that she is safe and in good hands. Thank you so much,10,Comfortable Stay,positive
This booking was made on behalf of my daughter after she found herself without passport or any credit cards or debit cards and little cash. A long story. I made the booking from the uk and after a few emails and speaking to the extremely helpful duty manager. We were able to find a solution to my daughters predicament and get her checked in. As a parent I cannot express my gratitude to the staff at the holiday inn. Her stay has been comfortable. My mind is at peace knowing that she is safe and in good hands. Thank you so much,10,Safe Environment,positive
"The hotel was very clean, the room was nice, they let us have the room earlier than check-in time.",8,Very Clean Hotel,positive
"The hotel was very clean, the room was nice, they let us have the room earlier than check-in time.",8,Nice Room,positive
"The hotel was very clean, the room was nice, they let us have the room earlier than check-in time.",8,Early Check-in,positive
"?È?·?È???È?·The ac in room was not setting properly, l requested someone from help desk to have a look but no one came to fix.",7,AC Issue,neutral
"?È?·?È???È?·The ac in room was not setting properly, l requested someone from help desk to have a look but no one came to fix.",7,Unresponsive Help Desk,neutral
Close to airport.,7,Close to Airport,neutral
Security guard has misbehaved with us he is thinking that he is the owner of that hotel very poor condition,9,Security Misbehavior,positive
Security guard has misbehaved with us he is thinking that he is the owner of that hotel very poor condition,9,Poor Condition,positive
Location is just perfect for travelers to catch international flights.,8,Perfect Location,positive
Location is just perfect for travelers to catch international flights.,8,Near International Flights,positive
Excellent,9,Excellent Experience,positive
Overall experience ok,9,Okay Experience,positive
the location,8,Good Location,positive
"distance to taj, value for money, clean and would defintiely stay here again.",8,Close to Taj,positive
"distance to taj, value for money, clean and would defintiely stay here again.",8,Value for Money,positive
"distance to taj, value for money, clean and would defintiely stay here again.",8,Clean Property,positive
"distance to taj, value for money, clean and would defintiely stay here again.",8,Repeat Stay,positive
"Staff is very cooperative, room are very clean. Overall very good stay.",10,Cooperative Staff,positive
"Staff is very cooperative, room are very clean. Overall very good stay.",10,Very Clean Rooms,positive
"Staff is very cooperative, room are very clean. Overall very good stay.",10,Good Stay,positive
"experience was good,",6,Good Experience,positive
Best hotel in budget,6,Best Budget Hotel,positive
Staff and particularly the reception staff was polite and good. My late check in was done comfortable by night staff.,7,Polite Staff,positive
Staff and particularly the reception staff was polite and good. My late check in was done comfortable by night staff.,7,Good Reception Staff,positive
Staff and particularly the reception staff was polite and good. My late check in was done comfortable by night staff.,7,Comfortable Late Check-in,neutral
Center location for rest of destinations Very calm place AC rooms full WIFi faciality Me. Promod the manager was very helpful,8,Central Location,positive
Center location for rest of destinations Very calm place AC rooms full WIFi faciality Me. Promod the manager was very helpful,8,Calm Place,positive
Center location for rest of destinations Very calm place AC rooms full WIFi faciality Me. Promod the manager was very helpful,8,AC Rooms,positive
Center location for rest of destinations Very calm place AC rooms full WIFi faciality Me. Promod the manager was very helpful,8,Full WiFi,positive
Center location for rest of destinations Very calm place AC rooms full WIFi faciality Me. Promod the manager was very helpful,8,Helpful Manager,positive
Room,8,Nice Room,positive
Staff behaviour.,7,Good Staff Behaviour,positive
Easily accessible Smooth check in process Hotel staff was very courteous,8,Easy Accessibility,positive
Easily accessible Smooth check in process Hotel staff was very courteous,8,Smooth Check-in,positive
Easily accessible Smooth check in process Hotel staff was very courteous,8,Courteous Staff,positive
All over all good,7,Overall Good,positive
The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.,6,Kind Staff,positive
The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.,6,Good Location,positive
The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.,6,Close to Railway Station,neutral
The staff was really kind and let us to put our bags in the hotel after checking out and the location of the placecwas very good and close to railway station and attractions.,6,Close to Attractions,neutral
Leaving the hotel,1,Negative Experience,negative
The staff are good,7,Good Staff,positive
Excellent value in a great location.,10,Excellent Value,positive
Excellent value in a great location.,10,Great Location,positive
Location. Very near the Connaught Place.,7,Near Connaught Place,neutral
The location is very good. It?Û?Èº?‰Ûs just a few minutes from Connaught Place which is the centre. The wifi is good and the people are friendly.,7,Very Good Location,positive
The location is very good. It?Û?Èº?‰Ûs just a few minutes from Connaught Place which is the centre. The wifi is good and the people are friendly.,7,Good WiFi,positive
